protein,ADOL,AGED,CHLD,INFT,MDAG
cyclin-dependent_kinase_inhibitor_2a,0.07226333163338898,0.1015098706363602,0.06442236093887888,0.05632817206623663,0.10323092572912075
regulator_of_g-protein_signaling_1,0.0,0.008336623224912321,0.009122133367060907,0.00952025528556227,0.016159539908985682
apolipoprotein_l1,0.03177579835317737,0.04775683483378507,0.025503325191867293,0.0,0.05268864349398959
"nucleoside_diphosphate_kinase,_mitochondrial",0.0,0.0,0.0,0.0,0.008078829764618557
myotubularin-related_protein_5,0.0,0.0,0.0,0.0,0.008078829764618557
centrosome-associated_protein_cep250,0.01778008168223463,0.016672246111099357,0.023586353696261417,0.019040593936178008,0.02088434846535428
chromodomain-helicase-dna-binding_protein_1,0.00888961504670415,0.01936193754418895,0.0,0.0,0.020889184880841967
"rrna_methyltransferase_2,_mitochondrial",0.09078648699314258,0.11323612990992613,0.09449158229618501,0.09530899896687511,0.1256874157734128
receptor_tyrosine-protein_kinase_erbb-3,0.0,0.008336944023571395,0.0,0.009520621631149358,0.008078676966244
lysine-specific_demethylase_3a,0.0,0.008336940456740959,0.0,0.0,0.012805360423497815
macrophage_receptor_marco,0.017778108831298097,0.026441711373602853,0.009118386605668072,0.009516345002351254,0.028987361015095546
b-cell_lymphoma_6_protein,0.07533830969010498,0.0950581859587025,0.06956237746593906,0.04759464185114525,0.0943970809461381
cullin-4a,0.008890146636953361,0.013214088694119306,0.0091219189554679,0.009520031516294769,0.016159160086354867
visinin-like_protein_1,0.008831216712647569,0.058363632224828,0.030124232516131222,0.0299929885502757,0.056845204326923075
potassium_voltage-gated_channel_subfamily_e_member_3,0.0,0.0,0.009122622981627181,0.0,0.0
platelet_factor_4_variant,0.0,0.03667629113738194,0.0,0.0,0.02897275485169543
properdin,0.07229142947540206,0.058058399158612765,0.07477095494705836,0.05913624548048368,0.06552412176785147
probable_low_affinity_copper_uptake_protein_2,0.0,0.021554925248047366,0.00912171552682961,0.0,0.020886340009458326
atp-binding_cassette_sub-family_b_member_5,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
charged_multivesicular_body_protein_4a,0.0,0.008337045270393037,0.0,0.0,0.008078775076578382
agouti-signaling_protein,0.014091233672804623,0.016675134319589495,0.009121314948059804,0.0,0.020889050774536067
